nombre_estructura;numero_threads;numero_elementos;tiempo_insercion;tiempo_extraccion;inversiones;error_medio;desviacion
skiplist;1;10000;25.9917;31.4046;0;0;0
skiplist;1;10000;26.771;34.5284;0;0;0
skiplist;1;10000;25.3375;46.5872;0;0;0
skiplist;1;10000;31.9064;53.6527;0;0;0
skiplist;1;10000;31.0767;32.7423;0;0;0
skiplist;8;10000;25.8559;47.8319;0;0;0
skiplist;8;10000;28.7832;39.1388;0;0;0
skiplist;8;10000;63.6605;73.4179;0;0;0
skiplist;8;10000;27.0471;35.3274;0;0;0
skiplist;8;10000;28.5903;37.9172;0;0;0
skiplist;1;100000;264.775;338.178;0;0;0
skiplist;1;100000;251.992;320.219;0;0;0
skiplist;1;100000;243.583;337.518;0;0;0
skiplist;1;100000;260.923;879.837;0;0;0
skiplist;8;100000;305.296;451.345;0;0;0
skiplist;8;100000;284.901;415.963;0;0;0
skiplist;8;100000;347.434;502.366;0;0;0
skiplist;8;100000;318.54;430.238;0;0;0
skiplist;8;100000;316.853;509.429;0;0;0
skiplist;1;1000000;2743.98;3778.15;0;0;0
skiplist;1;1000000;2245.73;4324.04;0;0;0
skiplist;1;1000000;2604.64;6115.51;0;0;0
skiplist;1;1000000;2411.31;3931.97;0;0;0
skiplist;1;1000000;2652.86;4327.98;0;0;0
skiplist;8;1000000;2577.81;4618.6;0;0;0
skiplist;8;1000000;2602.43;5820.22;0;0;0
skiplist;8;1000000;2470.05;3725.76;0;0;0
skiplist;8;1000000;2454.11;3775.99;0;0;0
skiplist;8;1000000;2720.38;6903.54;0;0;0
skiplist;1;5000000;13832.3;20895.9;0;0;0
skiplist;1;5000000;12594.9;18769.3;0;0;0
skiplist;1;5000000;15693.2;34762.8;0;0;0
skiplist;1;5000000;13672.9;25468.4;0;0;0
skiplist;1;5000000;14456.2;28353.2;0;0;0
skiplist;8;5000000;13492.3;27591.8;0;0;0
skiplist;8;5000000;14847.7;29837.6;0;0;0
skiplist;8;5000000;15137.6;22479.6;0;0;0
skiplist;8;5000000;16010.9;31095.5;0;0;0
skiplist;8;5000000;12572.1;20440.9;0;0;0
