nombre_estructura;numero_threads;numero_elementos;tiempo_insercion;tiempo_extraccion;inversiones;error_medio;desviacion
priority_queue;1;10000;2.38625;8.51959;0;0;0
priority_queue;1;10000;2.26573;5.88819;0;0;0
priority_queue;1;10000;1.93258;6.27806;0;0;0
priority_queue;1;10000;2.46185;7.07814;0;0;0
priority_queue;1;10000;1.85076;7.1202;0;0;0
priority_queue;8;10000;1.92145;6.45343;0;0;0
priority_queue;8;10000;1.93186;6.49351;0;0;0
priority_queue;8;10000;2.22588;6.55073;0;0;0
priority_queue;8;10000;2.07471;7.44067;0;0;0
priority_queue;8;10000;2.44596;6.64772;0;0;0
priority_queue;1;100000;21.654;73.0882;0;0;0
priority_queue;1;100000;22.3073;71.8385;0;0;0
priority_queue;1;100000;23.4842;73.3581;0;0;0
priority_queue;1;100000;21.8499;70.5233;0;0;0
priority_queue;1;100000;22.8884;68.9419;0;0;0
priority_queue;8;100000;21.1354;67.6871;0;0;0
priority_queue;8;100000;21.7387;67.1817;0;0;0
priority_queue;8;100000;21.6548;68.2003;0;0;0
priority_queue;8;100000;21.4819;61.7656;0;0;0
priority_queue;8;100000;20.4328;66.4503;0;0;0
priority_queue;1;1000000;212.916;752.566;0;0;0
priority_queue;1;1000000;212.844;787.529;0;0;0
priority_queue;1;1000000;220.713;797.435;0;0;0
priority_queue;1;1000000;226.571;811.042;0;0;0
priority_queue;1;1000000;200.563;873.971;0;0;0
priority_queue;8;1000000;214.744;827.821;0;0;0
priority_queue;8;1000000;192.13;841.688;0;0;0
priority_queue;8;1000000;211.207;848.003;0;0;0
priority_queue;8;1000000;220.066;803.606;0;0;0
priority_queue;8;1000000;219.42;845.969;0;0;0
priority_queue;1;5000000;1118.62;5163.94;0;0;0
priority_queue;1;5000000;1208.29;5836.65;0;0;0
priority_queue;1;5000000;1168.39;5634.13;0;0;0
priority_queue;1;5000000;1241.25;6014.15;0;0;0
priority_queue;1;5000000;1333.69;6039.96;0;0;0
priority_queue;8;5000000;1225.87;5938.79;0;0;0
priority_queue;8;5000000;1178.09;5764.17;0;0;0
priority_queue;8;5000000;1191.96;5802.67;0;0;0
priority_queue;8;5000000;1191.67;5688.72;0;0;0
priority_queue;8;5000000;1266.22;6043.45;0;0;0
multiqueue_t2;1;10000;2.14664;2.19923;1884;1.513;1.93386
multiqueue_t2;1;10000;2.05671;2.96411;1864;1.5026;1.92354
multiqueue_t2;1;10000;2.262;2.67943;1857;1.42614;1.82993
multiqueue_t2;1;10000;2.20534;2.62134;1842;1.39167;1.77605
multiqueue_t2;1;10000;3.00557;2.70241;1861;1.5974;2.2339
multiqueue_t2;8;10000;1.65555;1.35657;4654;25.8833;27.4028
multiqueue_t2;8;10000;1.63457;1.34912;4605;18.1701;15.8236
multiqueue_t2;8;10000;1.62848;1.31888;4591;18.3457;15.8083
multiqueue_t2;8;10000;2.37764;1.60399;4761;124.855;161.128
multiqueue_t2;8;10000;3.07335;1.42647;4558;17.3935;14.4324
multiqueue_t4;1;10000;2.04934;1.95432;3356;3.8008;3.7635
multiqueue_t4;1;10000;2.29028;2.64575;3337;3.93338;3.70533
multiqueue_t4;1;10000;2.6187;1.78698;3382;5.85304;11.0893
multiqueue_t4;1;10000;1.99358;1.76766;3355;4.21962;3.9785
multiqueue_t4;1;10000;3.32489;3.49037;3366;4.18779;4.03503
multiqueue_t4;8;10000;1.6524;1.40675;4769;38.4002;32.2392
multiqueue_t4;8;10000;1.44439;1.32816;4765;37.1327;32.6836
multiqueue_t4;8;10000;2.02327;1.64537;4769;37.9604;35.6364
multiqueue_t4;8;10000;2.35412;4.17431;4794;40.6927;34.4752
multiqueue_t4;8;10000;1.65899;1.4116;4784;38.3309;32.3546
multiqueue_t2;1;100000;17.1607;29.8166;18718;1.46063;1.87748
multiqueue_t2;1;100000;18.3234;31.5685;18724;1.51558;1.96491
multiqueue_t2;1;100000;18.7213;28.2047;18597;1.48294;1.9064
multiqueue_t2;1;100000;17.9313;27.9763;18765;1.48917;1.95673
multiqueue_t2;1;100000;17.8885;30.6305;18910;1.5115;1.96318
multiqueue_t2;8;100000;7.74793;13.0441;45915;18.2745;15.8494
multiqueue_t2;8;100000;7.10444;12.7981;45817;18.2689;15.4715
multiqueue_t2;8;100000;8.49683;14.3219;45892;18.2215;15.6602
multiqueue_t2;8;100000;6.92045;13.1613;45844;18.0858;15.3892
multiqueue_t2;8;100000;7.83439;13.1314;46175;59.6436;134.041
multiqueue_t4;1;100000;12.9689;21.7513;33532;4.05295;3.86976
multiqueue_t4;1;100000;12.6229;20.9738;33580;4.14797;3.95963
multiqueue_t4;1;100000;12.7678;20.8878;33562;4.01453;3.85208
multiqueue_t4;1;100000;13.1716;20.7739;33635;3.98384;3.74344
multiqueue_t4;1;100000;12.191;22.4324;33585;4.02868;3.84105
