nombre_estructura;numero_threads;numero_elementos;tiempo_insercion;tiempo_extraccion;inversiones;error_medio;desviacion
multiqueue_n4c2;1;10000;0.648634;2.21975;3350;4.1322;4.09772
multiqueue_n4c2;1;10000;0.862414;2.73827;3340;4.13124;3.89324
multiqueue_n4c2;1;10000;0.641616;2.70363;3383;4.14461;4.06428
multiqueue_n4c2;1;10000;0.657312;2.26296;3400;3.77668;3.52364
multiqueue_n4c2;1;10000;0.671574;2.43502;3379;3.94408;3.68464
multiqueue_n4c2;1;100000;5.17135;21.6306;33484;4.0499;3.85281
multiqueue_n4c2;1;100000;5.14975;20.9402;33684;4.1024;3.88214
multiqueue_n4c2;1;100000;5.28125;23.3071;33521;4.00552;3.88495
multiqueue_n4c2;1;100000;5.0873;22.1953;33587;4.00302;3.78021
multiqueue_n4c2;1;100000;4.86151;20.9552;33696;4.02331;3.80522
multiqueue_n4c2;1;1000000;40.6169;224.658;335606;4.07126;3.8848
multiqueue_n4c2;1;1000000;40.7162;224.86;336052;4.04637;3.87904
multiqueue_n4c2;1;1000000;41.5419;228.526;336406;4.08145;3.90066
multiqueue_n4c2;1;1000000;44.0304;217.977;335691;4.06109;3.8954
multiqueue_n4c2;1;1000000;42.2747;225.715;336207;4.06842;3.88572
multiqueue_n4c2;1;5000000;201.731;1525.38;1680423;4.05551;3.86829
multiqueue_n4c2;1;5000000;202.619;1554.36;1679907;4.07119;3.89064
multiqueue_n4c2;1;5000000;222.491;1535;1679529;4.05524;3.8789
multiqueue_n4c2;1;5000000;200.057;1521.97;1679830;4.05694;3.87788
multiqueue_n4c2;1;5000000;205.434;1787.05;1679192;4.06446;3.88227
