nombre_estructura;numero_threads;numero_elementos;tiempo_insercion;tiempo_extraccion;inversiones;error_medio;desviacion
priority_queue;1;10000;2.176;6.44652;0;0;0
priority_queue;1;10000;3.22194;6.18561;0;0;0
priority_queue;1;10000;4.32381;5.6655;0;0;0
priority_queue;1;10000;2.09203;6.52778;0;0;0
priority_queue;1;10000;3.69396;5.92519;0;0;0
priority_queue;1;100000;22.3289;57.9822;0;0;0
priority_queue;1;100000;21.6926;55.1502;0;0;0
priority_queue;1;100000;25.5754;68.945;0;0;0
priority_queue;1;100000;24.7703;69.059;0;0;0
priority_queue;1;100000;22.5175;57.7768;0;0;0
priority_queue;1;1000000;212.13;633.979;0;0;0
priority_queue;1;1000000;213.843;630.234;0;0;0
priority_queue;1;1000000;222.084;630.253;0;0;0
priority_queue;1;1000000;214.729;636.599;0;0;0
priority_queue;1;1000000;247.817;636.642;0;0;0
priority_queue;1;5000000;1024.55;3441.18;0;0;0
priority_queue;1;5000000;1048.81;3647.54;0;0;0
priority_queue;1;5000000;1068.74;3921.97;0;0;0
priority_queue;1;5000000;1074.23;4098.81;0;0;0
priority_queue;1;5000000;1069.56;3995.31;0;0;0
priority_queue;8;10000;3.07138;5.92932;0;0;0
priority_queue;8;10000;2.57131;6.68714;0;0;0
priority_queue;8;10000;2.24074;6.43126;0;0;0
priority_queue;8;10000;3.08948;5.79875;0;0;0
priority_queue;8;10000;3.20718;5.43933;0;0;0
priority_queue;8;100000;21.8749;56.1454;0;0;0
priority_queue;8;100000;22.3707;56.0807;0;0;0
priority_queue;8;100000;21.6103;53.0928;0;0;0
priority_queue;8;100000;21.8461;59.0325;0;0;0
priority_queue;8;100000;22.566;57.5917;0;0;0
priority_queue;8;1000000;204.187;603.424;0;0;0
priority_queue;8;1000000;203.308;589.489;0;0;0
priority_queue;8;1000000;203.226;602.298;0;0;0
priority_queue;8;1000000;205.16;601.014;0;0;0
priority_queue;8;1000000;202.026;654.471;0;0;0
priority_queue;8;5000000;1046.1;3460.21;0;0;0
priority_queue;8;5000000;1056.19;3851.75;0;0;0
priority_queue;8;5000000;1059.13;3958.51;0;0;0
priority_queue;8;5000000;1089.62;4732.04;0;0;0
priority_queue;8;5000000;1093.02;4700.24;0;0;0
multiqueue_n16c2;1;10000;1.82618;6.2412;1833;1.40694;1.81159
multiqueue_n16c2;1;10000;2.90259;3.35353;1840;1.537;1.98732
multiqueue_n16c2;1;10000;1.88129;6.83616;1816;1.5135;2.02435
multiqueue_n16c2;1;10000;3.44437;5.77263;1865;1.55266;1.99178
multiqueue_n16c2;1;10000;4.20222;2.97254;1908;1.59622;2.00257
multiqueue_n16c2;1;100000;14.9249;33.1503;18991;1.53578;1.95565
multiqueue_n16c2;1;100000;15.6747;32.432;18732;1.48043;1.90409
