nombre_estructura;numero_threads;numero_elementos;tiempo_insercion;tiempo_extraccion;inversiones;error_medio;desviacion
priority_queue;1;10000;1.98422;7.39553;0;0;0
priority_queue;1;10000;2.56677;6.34184;0;0;0
priority_queue;1;10000;1.96911;6.35931;0;0;0
priority_queue;1;10000;2.1884;6.38318;0;0;0
priority_queue;1;10000;2.81169;6.86614;0;0;0
priority_queue;8;10000;2.77082;6.87461;0;0;0
priority_queue;8;10000;2.89471;6.51969;0;0;0
priority_queue;8;10000;3.36684;6.50135;0;0;0
priority_queue;8;10000;3.18552;6.90152;0;0;0
priority_queue;8;10000;1.85414;6.37034;0;0;0
priority_queue;1;100000;21.5073;67.719;0;0;0
priority_queue;1;100000;21.0275;72.4159;0;0;0
priority_queue;1;100000;21.7817;69.3384;0;0;0
priority_queue;1;100000;21.6144;71.584;0;0;0
priority_queue;1;100000;22.3505;69.7078;0;0;0
priority_queue;8;100000;21.6646;65.5068;0;0;0
priority_queue;8;100000;21.88;70.5274;0;0;0
priority_queue;8;100000;21.0858;78.5034;0;0;0
priority_queue;8;100000;22.4806;72.6229;0;0;0
priority_queue;8;100000;21.6153;71.3922;0;0;0
priority_queue;1;1000000;204.317;778.321;0;0;0
priority_queue;1;1000000;211.913;805.602;0;0;0
priority_queue;1;1000000;229.642;861.04;0;0;0
priority_queue;1;1000000;202.011;837.424;0;0;0
priority_queue;1;1000000;217.801;899.094;0;0;0
priority_queue;8;1000000;205.932;896.584;0;0;0
priority_queue;8;1000000;219.692;907.329;0;0;0
priority_queue;8;1000000;211.884;854.085;0;0;0
priority_queue;8;1000000;224.888;916.139;0;0;0
priority_queue;8;1000000;226.405;906.593;0;0;0
priority_queue;1;5000000;1194.47;5328.18;0;0;0
priority_queue;1;5000000;1165.09;5395.5;0;0;0
priority_queue;1;5000000;1227.24;5460.58;0;0;0
priority_queue;1;5000000;1292.16;5674.53;0;0;0
priority_queue;1;5000000;1293.88;5770.89;0;0;0
priority_queue;8;5000000;1345.19;5995.38;0;0;0
priority_queue;8;5000000;1274.97;5539.98;0;0;0
priority_queue;8;5000000;1248.57;5919.01;0;0;0
priority_queue;8;5000000;1265.23;5720.43;0;0;0
priority_queue;8;5000000;1238.2;5676.59;0;0;0
multiqueue_t2;1;10000;2.06521;2.18674;1860;1.53075;2.01148
multiqueue_t2;1;10000;1.72146;2.01473;1822;1.49415;1.87879
multiqueue_t2;1;10000;2.09555;2.26607;1917;1.46349;1.85599
multiqueue_t2;1;10000;1.95;2.10129;1798;1.37674;1.8219
multiqueue_t2;1;10000;1.86275;2.61889;1887;1.483;1.9219
multiqueue_t2;8;10000;1.26234;1.42817;4680;32.4716;47.2284
multiqueue_t2;8;10000;1.28123;0.99595;4571;17.2721;14.5168
multiqueue_t2;8;10000;1.16915;0.955874;4501;18.5702;16.5991
multiqueue_t2;8;10000;1.58288;0.984354;4549;17.5988;14.4372
multiqueue_t2;8;10000;1.42904;0.982508;4584;18.3543;16.3558
multiqueue_t4;1;10000;1.85954;1.80069;3341;4.07954;3.96513
multiqueue_t4;1;10000;1.70636;1.68944;3398;4.4022;4.29924
multiqueue_t4;1;10000;1.77557;1.90893;3391;4.29891;4.18174
multiqueue_t4;1;10000;1.79557;1.80325;3354;3.96931;3.77204
multiqueue_t4;1;10000;1.86551;2.32399;3397;3.96859;3.80136
multiqueue_t4;8;10000;1.33933;1.15282;4761;36.8756;31.8874
multiqueue_t4;8;10000;1.25661;1.07537;4727;37.2864;30.6976
multiqueue_t4;8;10000;1.23106;1.03303;4803;35.3761;30.3821
multiqueue_t4;8;10000;1.33116;1.0434;4759;35.6059;29.5145
multiqueue_t4;8;10000;1.28523;1.08852;4712;35.0119;30.4677
